Ulasan Asli,1_Lower_Elongated,2_Emoji_to_Word,3_Slang_Normalization,4_Stemming,5_Handle_Negation,6_Final_Cleaned (Stopwords)
Sangat membantu saat pandemi seperti sekarang.. tks,sangat membantu saat pandemi seperti sekarang.. tks,sangat membantu saat pandemi seperti sekarang.. tks,sangat bantu saat pandemi seperti sekarang.. terima kasih,sangat bantu saat pandemi seperti sekarang terima kasih,sangat bantu saat pandemi seperti sekarang terima kasih,sangat bantu pandemi sekarang terima kasih
Mudah di operasikan,mudah di operasikan,mudah di operasikan,mudah di operasikan,mudah di operasi,mudah di operasi,mudah operasi
Bagus banget,bagus banget,bagus banget,bagus banget,bagus banget,bagus banget,bagus
praktis banget,praktis banget,praktis banget,praktis banget,praktis banget,praktis banget,praktis
Bagus dan bermanfaat,bagus dan bermanfaat,bagus dan bermanfaat,bagus dan manfaat,bagus dan manfaat,bagus dan manfaat,bagus manfaat
aplikasi nya gak lemot kokkk,aplikasi nya gak lemot kokk,aplikasi nya gak lemot kokk,aplikasi nya tidak lambat kokk,aplikasi nya tidak lambat kokk,aplikasi nya tidak_lambat kokk,tidak_lambat kokk
Mantap sekali coy 👍🙏👍,mantap sekali coy 👍🙏👍,mantap sekali coy  bagus  terima kasih  bagus ,bagus sekali coy bagus terima kasih bagus,bagus sekali coy bagus terima kasih bagus,bagus sekali coy bagus terima kasih bagus,bagus coy bagus terima kasih bagus
"Saya belum pernah vaksin, bagaimana caranya","saya belum pernah vaksin, bagaimana caranya","saya belum pernah vaksin, bagaimana caranya","saya belum pernah vaksin, bagaimana caranya",saya belum pernah vaksin bagaimana cara,saya belum_pernah vaksin bagaimana cara,belum_pernah vaksin cara
Siip update selalu.. cari bug nya biar jossss,siip update selalu.. cari bug nya biar joss,siip update selalu.. cari bug nya biar joss,bagus update selalu.. cari bug nya biar bagus,bagus update selalu cari bug nya biar bagus,bagus update selalu cari bug nya biar bagus,bagus cari bug biar bagus
Bagus,bagus,bagus,bagus,bagus,bagus,bagus
Memudahkan daLam penguRusan suRat2,memudahkan dalam pengurusan surat2,memudahkan dalam pengurusan surat2,memudahkan dalam pengurusan surat2,mudah dalam urus surat2,mudah dalam urus surat,mudah urus surat
Kalau mengurus surat Cerai mati apakah harus pakai surat kematian karena meninggalnya di Jakarta bersama Istri barunya,kalau mengurus surat cerai mati apakah harus pakai surat kematian karena meninggalnya di jakarta bersama istri barunya,kalau mengurus surat cerai mati apakah harus pakai surat kematian karena meninggalnya di jakarta bersama istri barunya,kalau mengurus surat cerai mati apakah harus pakai surat kematian karena meninggalnya di jakarta bersama istri barunya,kalau urus surat cerai mati apakah harus pakai surat mati karena tinggal di jakarta sama istri baru,kalau urus surat cerai mati apakah harus pakai surat mati karena tinggal di jakarta sama istri baru,urus surat cerai mati apakah surat mati tinggal jakarta sama istri baru
"Bagus semakin baik pelayanan,istimewa jogja kota","bagus semakin baik pelayanan,istimewa jogja kota","bagus semakin baik pelayanan,istimewa jogja kota","bagus semakin baik pelayanan,istimewa yogyakarta kota",bagus makin baik layan istimewa yogyakarta kota,bagus makin baik layan istimewa yogyakarta kota,bagus makin baik layan istimewa kota
Baik,baik,baik,baik,baik,baik,baik
👍,👍, bagus ,bagus,bagus,bagus,bagus
Top👍,top👍,top bagus ,bagus bagus,bagus bagus,bagus bagus,bagus bagus
"Memotong mata rantai birokrasi yang berbelit-belit. Jos gandos, mantap jiwa.","memotong mata rantai birokrasi yang berbelit-belit. jos gandos, mantap jiwa.","memotong mata rantai birokrasi yang berbelit-belit. jos gandos, mantap jiwa.","memotong mata rantai birokrasi yang berbelit-belit. bagus gandos, bagus jiwa.",potong mata rantai birokrasi yang belit bagus gandos bagus jiwa,potong mata rantai birokrasi yang belit bagus gandos bagus jiwa,potong mata rantai birokrasi belit bagus gandos bagus jiwa
Ya baik,ya baik,ya baik,ya baik,ya baik,ya baik,ya baik
"Sangat Membantu ,, Bagus Sekali😀","sangat membantu ,, bagus sekali😀","sangat membantu ,, bagus sekali grinning face ","sangat bantu ,, bagus sekali grinning face",sangat bantu bagus sekali grinning face,sangat bantu bagus sekali grinning face,sangat bantu bagus grinning face
Good,good,good,bagus,bagus,bagus,bagus
Mantap,mantap,mantap,bagus,bagus,bagus,bagus
ga lambat,ga lambat,ga lambat,tidak lambat,tidak lambat,tidak_lambat,tidak_lambat
"Aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya... Entah hape saya yang bermasalah atau bagaimana? Mohon pencerahannya.","aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya.. entah hape saya yang bermasalah atau bagaimana? mohon pencerahannya.","aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya.. entah hape saya yang bermasalah atau bagaimana? mohon pencerahannya.","aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya.. entah hape saya yang bermasalah atau bagaimana? mohon pencerahannya.",aplikasi ini sangat manfaat akan tetapi ketika saya akan klik layan dukcapil khusus buat akta tidak bisa klik atau tidak sambung ke webnya entah hape saya yang masalah atau bagaimana mohon cerah,aplikasi ini sangat manfaat akan tetapi ketika saya akan klik layan dukcapil khusus buat akta tidak_bisa klik atau tidak_sambung ke webnya entah hape saya yang masalah atau bagaimana mohon cerah,sangat manfaat ketika klik layan dukcapil khusus akta tidak_bisa klik tidak_sambung webnya entah hape masalah cerah
"Saya sangat senang dgn aplikasi ini. Saya sdh merasakan manfaatnya. Berharap seluruh kota d Indonesia punya aplikasi seperti ini yg bisa mengatasi pungli. O iya, selama ngurus surat d Kota Jogja, saya tdk pernah temui pungli. Sangat puassss...🙏🙏","saya sangat senang dgn aplikasi ini. saya sdh merasakan manfaatnya. berharap seluruh kota d indonesia punya aplikasi seperti ini yg bisa mengatasi pungli. o iya, selama ngurus surat d kota jogja, saya tdk pernah temui pungli. sangat puass..🙏🙏","saya sangat senang dgn aplikasi ini. saya sdh merasakan manfaatnya. berharap seluruh kota d indonesia punya aplikasi seperti ini yg bisa mengatasi pungli. o iya, selama ngurus surat d kota jogja, saya tdk pernah temui pungli. sangat puass.. terima kasih  terima kasih ","saya sangat senang dengan aplikasi ini. saya sudah merasakan manfaatnya. berharap seluruh kota d indonesia punya aplikasi seperti ini yg bisa mengatasi pungli. o iya, selama ngurus surat d kota jogja, saya tidak pernah temui pungli. sangat puass.. terima kasih terima kasih",saya sangat senang dengan aplikasi ini saya sudah rasa manfaat harap seluruh kota d indonesia punya aplikasi seperti ini yg bisa atas pungli o iya lama ngurus surat d kota jogja saya tidak pernah temu pungli sangat puass terima kasih terima kasih,saya sangat senang dengan aplikasi ini saya sudah rasa manfaat harap seluruh kota d indonesia punya aplikasi seperti ini yg bisa atas pungli o iya lama ngurus surat d kota jogja saya tidak_pernah temu pungli sangat puass terima kasih terima kasih,sangat senang rasa manfaat harap seluruh kota d indonesia punya yg bisa atas pungli o iya lama ngurus surat d kota jogja tidak_pernah temu pungli sangat puass terima kasih terima kasih
Bagus,bagus,bagus,bagus,bagus,bagus,bagus
Sangat membantu informasi ter apdet.,sangat membantu informasi ter apdet.,sangat membantu informasi ter apdet.,sangat bantu informasi ter apdet.,sangat bantu informasi ter apdet,sangat bantu informasi ter apdet,sangat bantu ter apdet
Semoga bermanfaat,semoga bermanfaat,semoga bermanfaat,semoga manfaat,moga manfaat,moga manfaat,moga manfaat
Semoga bermanfaat,semoga bermanfaat,semoga bermanfaat,semoga manfaat,moga manfaat,moga manfaat,moga manfaat
Ok,ok,ok,oke,oke,oke,oke
Sangat bermanfaat dan membantu.,sangat bermanfaat dan membantu.,sangat bermanfaat dan membantu.,sangat manfaat dan membantu.,sangat manfaat dan bantu,sangat manfaat dan bantu,sangat manfaat bantu
Ok ok ok ok,ok ok ok ok,ok ok ok ok,oke oke oke oke,oke oke oke oke,oke oke oke oke,oke oke oke oke
"Aplikasinya sangat bermanfaat, tapi sayangnya sampai detik ini msh ada beberapa menu yang tidak berfungsi padahal sebelumnya berfungsi seperti menu Kependudukan dan catatan sipil dan pendaftaran vaksin. Minta tolong utk diperbaiki. Terimakasih","aplikasinya sangat bermanfaat, tapi sayangnya sampai detik ini msh ada beberapa menu yang tidak berfungsi padahal sebelumnya berfungsi seperti menu kependudukan dan catatan sipil dan pendaftaran vaksin. minta tolong utk diperbaiki. terimakasih","aplikasinya sangat bermanfaat, tapi sayangnya sampai detik ini msh ada beberapa menu yang tidak berfungsi padahal sebelumnya berfungsi seperti menu kependudukan dan catatan sipil dan pendaftaran vaksin. minta tolong utk diperbaiki. terimakasih","aplikasinya sangat bermanfaat, tapi sayangnya sampai detik ini masih ada beberapa menu yang tidak berfungsi padahal sebelumnya berfungsi seperti menu kependudukan dan catatan sipil dan pendaftaran vaksin. minta tolong untuk diperbaiki. terimakasih",aplikasi sangat manfaat tapi sayang sampai detik ini masih ada beberapa menu yang tidak fungsi padahal belum fungsi seperti menu duduk dan catat sipil dan daftar vaksin minta tolong untuk baik terimakasih,aplikasi sangat manfaat tapi sayang sampai detik ini masih ada beberapa menu yang tidak_fungsi padahal belum_fungsi seperti menu duduk dan catat sipil dan daftar vaksin minta tolong untuk baik terimakasih,sangat manfaat sayang sampai detik beberapa tidak_fungsi padahal belum_fungsi duduk catat sipil vaksin minta baik terimakasih
pengaduan selalu di respon,pengaduan selalu di respon,pengaduan selalu di respon,pengaduan selalu di respon,adu selalu di respon,adu selalu di respon,adu respon
"Aplikasinya bagus banget,,saya KTP luar jogja bisa vaksin di RSUD wirosaban, petugasnya ramah-ramah semua, rumah sakitnya Bersih dan Nyaman..terimakasih","aplikasinya bagus banget,,saya ktp luar jogja bisa vaksin di rsud wirosaban, petugasnya ramah-ramah semua, rumah sakitnya bersih dan nyaman..terimakasih","aplikasinya bagus banget,,saya ktp luar jogja bisa vaksin di rsud wirosaban, petugasnya ramah-ramah semua, rumah sakitnya bersih dan nyaman..terimakasih","aplikasinya bagus banget,,saya kartu tanda penduduk luar yogyakarta bisa vaksin di rsud wirosaban, petugasnya ramah-ramah semua, rumah sakitnya bersih dan nyaman..terimakasih",aplikasi bagus banget saya kartu tanda duduk luar yogyakarta bisa vaksin di rsud wirosaban tugas ramah semua rumah sakit bersih dan nyaman terimakasih,aplikasi bagus banget saya kartu tanda duduk luar yogyakarta bisa vaksin di rsud wirosaban tugas ramah semua rumah sakit bersih dan nyaman terimakasih,bagus kartu tanda duduk luar bisa vaksin rsud wirosaban tugas ramah semua rumah sakit bersih nyaman terimakasih
Ok,ok,ok,oke,oke,oke,oke
Baik,baik,baik,baik,baik,baik,baik
Bagus,bagus,bagus,bagus,bagus,bagus,bagus
Oke,oke,oke,oke,oke,oke,oke
Ok,ok,ok,oke,oke,oke,oke
"Saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan KK secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan KTP perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota Timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumen² pendukung.","saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan kk secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan ktp perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumen² pendukung.","saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan kk secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan ktp perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumen² pendukung.","saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan kartu keluarga secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan kartu tanda penduduk perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumen² pendukung.",saya langsung beri bintang 5 tanpa basa basi dari awal proses instalasi aplikasi aju mohon sampai ambil dokumen yang sudah jadi jalan lancar tanpa kendala mohon ubah kartu keluarga cara online lsg jadi kurang dari hari dengan cetak mandiri mohon kartu tanda duduk ubah lsg jadi kurang dari tengah hari dan lsg bisa ambil ke loket mall layan publik di balaikota timoho ada baik belum aju mohon yg ingin dpt siap dokumen dukung,saya langsung beri bintang tanpa basa basi dari awal proses instalasi aplikasi aju mohon sampai ambil dokumen yang sudah jadi jalan lancar tanpa kendala mohon ubah kartu keluarga cara online lsg jadi kurang_dari hari dengan cetak mandiri mohon kartu tanda duduk ubah lsg jadi kurang_dari tengah hari dan lsg bisa ambil ke loket mall layan publik di balaikota timoho ada baik belum_aju mohon yg ingin dpt siap dokumen dukung,langsung beri tanpa basa basi awal proses instalasi aju sampai ambil dokumen jadi jalan lancar tanpa kendala ubah kartu keluarga cara online lsg jadi kurang_dari hari cetak mandiri kartu tanda duduk ubah lsg jadi kurang_dari tengah hari lsg bisa ambil loket mall layan publik balaikota timoho baik belum_aju yg ingin dpt siap dokumen dukung
Bagus sekali,bagus sekali,bagus sekali,bagus sekali,bagus sekali,bagus sekali,bagus
Nice,nice,nice,bagus,bagus,bagus,bagus
Bagus,bagus,bagus,bagus,bagus,bagus,bagus
Bagus👍👍👍👍👍👍👍,bagus👍👍,bagus bagus  bagus ,bagus bagus bagus,bagus bagus bagus,bagus bagus bagus,bagus bagus bagus
Aplikasinya menurut ku simpel dan pendaftarn tgl ikuti arahan ..pas sampe lokasi lgs gercep..g sample setengah jam lgs dpt giliran,aplikasinya menurut ku simpel dan pendaftarn tgl ikuti arahan ..pas sampe lokasi lgs gercep..g sample setengah jam lgs dpt giliran,aplikasinya menurut ku simpel dan pendaftarn tgl ikuti arahan ..pas sampe lokasi lgs gercep..g sample setengah jam lgs dpt giliran,aplikasinya menurut ku simpel dan pendaftarn tanggal ikuti arahan ..pas sampe lokasi lgs gercep..g sample setengah jam lgs dpt giliran,aplikasi turut ku simpel dan pendaftarn tanggal ikut arah pas sampe lokasi lgs gercep g sample tengah jam lgs dpt gilir,aplikasi turut ku simpel dan pendaftarn tanggal ikut arah pas sampe lokasi lgs gercep g sample tengah jam lgs dpt gilir,turut simpel pendaftarn tanggal ikut arah sampe lokasi lgs gercep g sample tengah jam lgs dpt gilir
Jss memang oke,jss memang oke,jss memang oke,jss memang oke,jss memang oke,jss memang oke,memang oke
Mantap,mantap,mantap,bagus,bagus,bagus,bagus
Sangat membantu masyarakat 👍🏽,sangat membantu masyarakat 👍🏽,sangat membantu masyarakat  bagus  medium skin tone ,sangat bantu masyarakat bagus medium skin tone,sangat bantu masyarakat bagus medium skin tone,sangat bantu masyarakat bagus medium skin tone,sangat bantu bagus medium skin tone
"MANTAP,semua pelayanan bisa jadi satu aplikasi 👍","mantap,semua pelayanan bisa jadi satu aplikasi 👍","mantap,semua pelayanan bisa jadi satu aplikasi  bagus ","mantap,semua pelayanan bisa jadi satu aplikasi bagus",mantap semua layan bisa jadi satu aplikasi bagus,mantap semua layan bisa jadi satu aplikasi bagus,mantap semua layan bisa jadi satu bagus
APLIKASI SEMPURNA MANTAP,aplikasi sempurna mantap,aplikasi sempurna mantap,aplikasi sempurna bagus,aplikasi sempurna bagus,aplikasi sempurna bagus,sempurna bagus
Good,good,good,bagus,bagus,bagus,bagus
Jss Jos tenin,jss jos tenin,jss jos tenin,jss bagus tenin,jss bagus tenin,jss bagus tenin,bagus tenin
